"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","BoardAsianAmerican","BoardBlackAmerican","BoardHispanicAmerican","BoardMinorityStatus","BoardNativeAmerican","CurMemAsianAmerican","CurMemBlackAmerican","CurMemHispanicAmerican","CurMemMinorityStatus","CurMemNativeAmerican","EligibleMinorityStatus","FOMAsianAmerican","FOMBlackAmerican","FOMHispanicAmerican","FOMMinorityStatus","FOMNativeAmerican","MemberMinorityStatus"
90,3/31/2026 0:00:00,49,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
98,3/31/2026 0:00:00,54,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
107,3/31/2026 0:00:00,57,"","1","1","0","0","1","0","0","1","1","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
108,3/31/2026 0:00:00,58,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
110,3/31/2026 0:00:00,59,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
119,3/31/2026 0:00:00,62,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
120,3/31/2026 0:00:00,63,"894500VDUJSEIIB2BZ77","1","1","0","0","0","0","0","1","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
132,3/31/2026 0:00:00,69,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","1","","1","","","","1","","1","",""
135,3/31/2026 0:00:00,70,"549300XBN09FJNIT5G55","1","0","1","0","0","0","0","1","0","0","0","0","1","1","1","Feb 23 2026  6:00AM","","","","","","","","","","","","","","","","",""
138,3/31/2026 0:00:00,72,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
146,3/31/2026 0:00:00,74,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
147,3/31/2026 0:00:00,75,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
150,3/31/2026 0:00:00,77,"549300AN5V81GRYDJ823","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","Feb 12 2026  5:00AM","","1","","1","","","","","","","","","","","","",""
151,3/31/2026 0:00:00,78,"549300AOB4S7B0DB7863","1","1","1","1","1","1","0","0","0","0","1","0","1","1","1","Feb 13 2026  5:00AM","","","","","","","","","","","","","","","","",""
153,3/31/2026 0:00:00,80,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
159,3/31/2026 0:00:00,83,"549300ZBBGOL4MIK0L71","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","Feb 20 2026  5:00AM","","","","","","","","","","","","","","","","",""
162,3/31/2026 0:00:00,85,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","",""
167,3/31/2026 0:00:00,87,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
168,3/31/2026 0:00:00,88,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
169,3/31/2026 0:00:00,89,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
176,3/31/2026 0:00:00,92,"549300GL556PQ7WG0G08","1","1","1","1","1","0","0","0","0","0","1","0","1","1","1","Mar  2 2026  5:00AM","","","","","","1","1","1","1","","","","","","1","",""
187,3/31/2026 0:00:00,100,"","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","1","","1","","","1","","1","","","","1","","1","",""
195,3/31/2026 0:00:00,104,"","1","1","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
196,3/31/2026 0:00:00,105,"549300ZIQ24V0C88AC41","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 24 2026  5:00AM","","","","","","","","","","","","","","","","",""
198,3/31/2026 0:00:00,107,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
199,3/31/2026 0:00:00,108,"254900PZMV3V09E3HO84","1","1","0","0","0","0","0","0","1","0","0","1","1","1","1","Jan 15 2025  6:00AM","","","","","","","","","","","","","","","","",""
200,3/31/2026 0:00:00,109,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
205,3/31/2026 0:00:00,112,"549300PYZVSM1PP3GI62","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Feb 28 2025  5:00AM","","","","","","","","","","","","","","","","",""
216,3/31/2026 0:00:00,116,"","1","0","1","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
220,3/31/2026 0:00:00,117,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
224,3/31/2026 0:00:00,119,"","1","1","1","1","1","0","0","1","1","0","1","0","1","","","","","1","","1","","","","","","","","","1","","","",""
227,3/31/2026 0:00:00,121,"549300FX7K8PTEQUU487","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","Feb 24 2026  5:00AM","","","","","","","","","","","","","","","","",""
233,3/31/2026 0:00:00,124,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","1","","1","","","","","","1","",""
234,3/31/2026 0:00:00,125,"254900mc3k81xoe85m60","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2026  5:00AM","","","","","","","","","","","","","","","","",""
240,3/31/2026 0:00:00,128,"5493001XNU40KOITE062","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","Jan  7 2026  5:00AM","","","","","","","","","","","","","","","","",""
242,3/31/2026 0:00:00,129,"254900R21YNPTNWW1L44","1","0","1","0","0","0","0","0","0","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
256,3/31/2026 0:00:00,136,"","1","1","0","1","1","0","0","0","1","0","1","0","1","1","","","","","","","","","","","","","","","","","","",""
258,3/31/2026 0:00:00,137,"549300ODE6V13YFWTW21","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar 12 2025  5:00AM","","","","","","","","","","","","","","","","",""
262,3/31/2026 0:00:00,139,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
266,3/31/2026 0:00:00,143,"549300p1orvtmt2t7756","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","Feb 24 2025  5:00AM","1","1","1","1","","","","","","","","","","","","",""
274,3/31/2026 0:00:00,149,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
277,3/31/2026 0:00:00,152,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
287,3/31/2026 0:00:00,154,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
288,3/31/2026 0:00:00,155,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
294,3/31/2026 0:00:00,160,"5493003GJY287GiWFH36","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","Feb 19 2025  5:00AM","","","","","","","","","","","","","","","","",""
303,3/31/2026 0:00:00,166,"549300JUZBXW5SUK5V79","1","1","0","0","1","0","0","1","0","0","0","0","1","1","1","Feb  5 2025  5:00AM","","","","","","","","","","","","","","","","",""
306,3/31/2026 0:00:00,168,"25490053IH908EDF8D65","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  5 2025  5:00AM","","","","","","","","","","","","","","","","",""
319,3/31/2026 0:00:00,173,"","1","0","0","0","0","0","0","0","1","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
320,3/31/2026 0:00:00,174,"549300DNWSJUNAWUM003","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
340,3/31/2026 0:00:00,183,"549300wkoe38pnusod49","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 28 2025  5:00AM","","","","","","","","","","","","","","","","",""
352,3/31/2026 0:00:00,188,"549300SCF56K6YEG7X54","1","1","0","1","1","1","0","1","0","0","1","0","1","1","1","Jan 30 2026  5:00AM","","","","","","","","","","","","","","","","",""
361,3/31/2026 0:00:00,193,"549300XOP6YO0UN0TY92","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2026  5:00AM","","","","","","","","","","","","","","","","",""
367,3/31/2026 0:00:00,199,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","","","","","","","1","","","",""
370,3/31/2026 0:00:00,201,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
373,3/31/2026 0:00:00,203,"254900PW1USAMXJ2SQ82","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 20 2026  5:00AM","","","","","","","","","","","","","","","","",""
376,3/31/2026 0:00:00,206,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
378,3/31/2026 0:00:00,208,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
383,3/31/2026 0:00:00,211,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","1","","1","","","","","","1","",""
389,3/31/2026 0:00:00,214,"549300CAVVHZY16D5T08","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","Jan 22 2026  5:00AM","","","","","","","","","","","","","","","","",""
390,3/31/2026 0:00:00,215,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
395,3/31/2026 0:00:00,217,"549300W8FXJXRVKIT387","1","0","0","0","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","","",""
404,3/31/2026 0:00:00,222,"549300MUEGVFZ2155D91","1","1","0","1","1","0","0","0","0","0","1","0","1","1","1","Feb 15 2024  6:00AM","","","","","","","","","","","","","","","","",""
422,3/31/2026 0:00:00,229,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
430,3/31/2026 0:00:00,232,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
435,3/31/2026 0:00:00,235,"254900EZRN0CBEP77K34","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 14 2025  5:00AM","","","","","","","","","","","","","","","","",""
444,3/31/2026 0:00:00,239,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
452,3/31/2026 0:00:00,240,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
464,3/31/2026 0:00:00,246,"5493009TOEDMWVNG1442","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","","","","","","","","","","","","","","","","","",""
473,3/31/2026 0:00:00,252,"549300NAZLKUFCJIO704","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Feb 24 2025  6:00AM","","","","","","","","","","","","","","","","",""
475,3/31/2026 0:00:00,253,"","1","1","1","1","1","0","0","0","1","0","1","1","","","","","","","","","","","","","","","","","","","","",""
477,3/31/2026 0:00:00,255,"254900P44XJB3CPZ4V05","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","Feb 27 2026  5:00AM","","","","","","","","","","","","","","","","",""
484,3/31/2026 0:00:00,257,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
489,3/31/2026 0:00:00,259,"254900HUD7SD8U5L3C11","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  4 2026  5:00AM","","","","","","","","","","","","","","","","",""
490,3/31/2026 0:00:00,260,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
511,3/31/2026 0:00:00,271,"549300ISBO500DQ50239","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  2 2026  5:00AM","","","","","","","","","","","","","","","","",""
514,3/31/2026 0:00:00,272,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
517,3/31/2026 0:00:00,274,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
524,3/31/2026 0:00:00,276,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
528,3/31/2026 0:00:00,277,"549300DEVPMBR765WH45","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","Jan 12 2026  7:00AM","","","","","","","","","","","","","","","","",""
538,3/31/2026 0:00:00,282,"","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","1","","1","","","1","","1","","","","1","","1","",""
566,3/31/2026 0:00:00,290,"549300F6NSBOJBM9ED39","1","1","0","1","1","0","0","0","0","0","0","0","1","1","1","Mar  1 2024  8:00AM","","","","","","","","","","","","","","","","",""
567,3/31/2026 0:00:00,291,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
577,3/31/2026 0:00:00,293,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
594,3/31/2026 0:00:00,302,"549300LNJJYJMOPHAH96","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Mar  1 2025  8:00AM","","","","","","","","","","","","","","","","",""
606,3/31/2026 0:00:00,307,"","1","1","0","0","1","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
609,3/31/2026 0:00:00,309,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
613,3/31/2026 0:00:00,311,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
616,3/31/2026 0:00:00,314,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
619,3/31/2026 0:00:00,316,"549300SY0ZRUCS4CSY07","1","1","1","1","1","0","0","0","1","0","1","1","1","1","1","Feb 11 2025  5:00AM","","","","","","","","","","","","","","","","",""
620,3/31/2026 0:00:00,317,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
624,3/31/2026 0:00:00,321,"549300TULDV69V2XKY60","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","Feb 27 2025  5:00AM","","","","","","","","","","","","","","","","",""
640,3/31/2026 0:00:00,328,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
644,3/31/2026 0:00:00,330,"","1","1","1","1","1","1","1","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
649,3/31/2026 0:00:00,335,"254900C93QPBEWPGBI16","1","1","1","0","1","1","0","1","0","0","1","0","1","1","1","Feb 20 2022  5:00AM","","","","","","","","","","","","","","","","",""
663,3/31/2026 0:00:00,341,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
665,3/31/2026 0:00:00,342,"","1","1","1","1","1","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
687,3/31/2026 0:00:00,352,"","1","1","0","1","1","0","0","0","1","0","1","0","","","","","","","","","","","","","","","","","","","","",""
690,3/31/2026 0:00:00,353,"549300SP39BCL43JUN40","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 25 2025  5:00AM","","","","","","","","","","","","","","","","",""
716,3/31/2026 0:00:00,364,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
761,3/31/2026 0:00:00,375,"","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
770,3/31/2026 0:00:00,378,"5493002PPPIVY6G0AH03","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  5 2026  5:00AM","","","","","","","","","","","","","","","","",""
785,3/31/2026 0:00:00,386,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
794,3/31/2026 0:00:00,390,"5493008YRTIU0FNCTY07","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 20 2025  5:00AM","","","","","","","","","","","","","","","","",""
795,3/31/2026 0:00:00,391,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
798,3/31/2026 0:00:00,393,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","","1","","1","","","","1","","1","",""
808,3/31/2026 0:00:00,398,"549300H6J0XZXQGKDW16","1","1","1","0","1","0","0","0","1","0","0","0","1","1","1","Mar 19 2025  6:00AM","1","1","1","1","1","","","","","","","1","1","1","","1",""
817,3/31/2026 0:00:00,401,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
818,3/31/2026 0:00:00,402,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
832,3/31/2026 0:00:00,409,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
839,3/31/2026 0:00:00,414,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
841,3/31/2026 0:00:00,416,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
845,3/31/2026 0:00:00,418,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
850,3/31/2026 0:00:00,420,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","1","1","","","","1","1","","","","","1","1","",""
851,3/31/2026 0:00:00,421,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","",""
854,3/31/2026 0:00:00,423,"254900O86JRT86YLQO47","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 26 2025  5:00AM","","","","","","","","","","","","","","","","",""
856,3/31/2026 0:00:00,425,"","1","0","0","0","0","0","0","0","1","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
857,3/31/2026 0:00:00,426,"5493004UNRG4PWDF2K60","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","Mar  1 2026  5:00AM","","","","","","","","","","","","","","","","",""
858,3/31/2026 0:00:00,427,"894500C7FEAC4HQJCK52","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","Feb 15 2026  5:00AM","","","","","","","","","","","","","","","","",""
871,3/31/2026 0:00:00,432,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
872,3/31/2026 0:00:00,433,"549300PVS7DLMY766R09","1","0","1","0","0","0","0","0","1","0","0","0","1","1","1","Feb 18 2026  5:00AM","","","","","","","","","","","","","","","","",""
884,3/31/2026 0:00:00,441,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
887,3/31/2026 0:00:00,444,"549300V0B2PZ5XF4SB58","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
888,3/31/2026 0:00:00,445,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
909,3/31/2026 0:00:00,455,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
911,3/31/2026 0:00:00,457,"5493002Z4GZF8C2F3T27","1","1","1","0","0","0","0","1","1","0","1","1","1","1","1","Feb  2 2026  5:00AM","","","","","","","","","","","","","","","","",""
916,3/31/2026 0:00:00,460,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
926,3/31/2026 0:00:00,465,"254900UQIE22KBNLG837","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","1","1","","","","1","1","","","","","1","1","",""
930,3/31/2026 0:00:00,466,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
932,3/31/2026 0:00:00,468,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
943,3/31/2026 0:00:00,473,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
946,3/31/2026 0:00:00,475,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
948,3/31/2026 0:00:00,476,"5493007B1GAUZGYHPR07","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 25 2025  7:00AM","","","","","","","","","","","","","","","","",""
951,3/31/2026 0:00:00,477,"","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","",""
960,3/31/2026 0:00:00,482,"984500DE6B6YB8A5H465","1","0","1","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","",""
967,3/31/2026 0:00:00,486,"549300M9RHNQ4107R694","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","Feb 10 2026  5:00AM","","","","","","","","","","","","","","","","",""
986,3/31/2026 0:00:00,494,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
988,3/31/2026 0:00:00,495,"25490059CRJPDQXWL974","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 27 2026  5:00AM","","","","","","","","","","","","","","","","",""
1000,3/31/2026 0:00:00,500,"","1","1","0","0","0","0","0","0","1","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
1015,3/31/2026 0:00:00,509,"549300VFH2iXM3i18P78","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Jan 28 2025  5:00AM","1","1","1","1","","1","1","1","1","","","","","","","",""
1021,3/31/2026 0:00:00,512,"2549000UEC0BWG8F1402","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","Feb 21 2026  5:00AM","","","","","","","","","","","","","","","","",""
1022,3/31/2026 0:00:00,513,"549300WC12JROIUVWY16","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Nov 30 2025  5:00AM","","","","","","","","","","","","","","","","",""
1034,3/31/2026 0:00:00,521,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
1040,3/31/2026 0:00:00,524,"549300LYL7JC81I5DV55","1","1","1","1","1","0","1","1","0","0","1","0","1","1","1","Mar  1 2025  7:00AM","","","","","","","","","","","","","","","","",""
1049,3/31/2026 0:00:00,527,"2549007UXYHMV9ES9L95","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
1059,3/31/2026 0:00:00,530,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
1068,3/31/2026 0:00:00,532,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","1","1","","","","1","1","","","","","1","1","",""
1074,3/31/2026 0:00:00,534,"549300KPHGEE40YQXO21","1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 27 2025  8:00AM","","","","","","","","","","","","","","","","",""
1077,3/31/2026 0:00:00,536,"254900N8Sl6247A0W569","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
1080,3/31/2026 0:00:00,537,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
1086,3/31/2026 0:00:00,541,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
1108,3/31/2026 0:00:00,552,"","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","",""
