"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","SiteId","SiteName","SiteTypeName","SiteFunctionName","PhysicalAddressLine1","PhysicalAddressLine2","PhysicalAddressCity","PhysicalAddressStateCode","PhysicalAddressStateName","PhysicalAddressPostalCode","PhysicalAddressCountyName","PhysicalAddressCountry"
51,3/31/2026 0:00:00,32,"BROADVIEW",40675,"Arbor Hill","Branch Office","ATM","388 Clinton Ave","","Albany","NY","New York","12206","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40707,"State St","Branch Office","ATM","110 State St","","Albany","NY","New York","12207","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40764,"Empire State Plaza","Branch Office","ATM","5 Empire State Plz Ste 110","Main Concourse","Albany","NY","New York","12223-1500","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40773,"Guilderland","Branch Office","ATM","2114 Western Ave","","Guilderland","NY","New York","12084","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40780,"OneCommerce Plaza","Branch Office","ATM","99 Washington Ave","","Albany","NY","New York","12210","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40786,"Patroon Creek","Branch Office","ATM","655 Patroon Creek Blvd","","Albany","NY","New York","12206","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40831,"S Pearl St","Branch Office","ATM","200 S Pearl St","Albany Housing Authority Bldg","Albany","NY","New York","12202","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40842,"SUNY Albany","Branch Office","ATM","1400 Washington Ave","Albany Campus Center","Albany","NY","New York","12222","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40855,"Altamont","Branch Office","ATM","763 Main St","RT 146","Altamont","NY","New York","12009-9900","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",40866,"Amherst","Branch Office","ATM","3155 Niagara Falls Blvd","","Amherst","NY","New York","14228","Erie","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41225,"Amsterdam","Branch Office","ATM","5003 State Highway 30","","Amsterdam","NY","New York","12010","Montgomery","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41235,"Upper Front St","Branch Office","ATM","1137 Upper Front St","","Binghamton","NY","New York","13905","Broome","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41257,"Court St","Branch Office","ATM","82 Court St # 84","","Binghamton","NY","New York","13901-3301","Broome","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41267,"BDC Automated Branch","Branch Office","ATM","249 Glenwood Rd","","Binghamton","NY","New York","13905-1603","Broome","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41276,"Buffalo","Branch Office","ATM","598 Main St","","Buffalo","NY","New York","14202","Erie","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41282,"Clarence","Branch Office","ATM","4375 Transit Rd","","Williamsville","NY","New York","14221","Erie","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41292,"Clifton Park","Branch Office","ATM","16 Park Ave","","Clifton Park","NY","New York","12065","Saratoga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41316,"Cobleskill","Branch Office","ATM","567 Main St","","Cobleskill","NY","New York","12043","Schoharie","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41328,"Cooperstown","Branch Office","ATM","169 Main St","","Cooperstown","NY","New York","13326","Otsego","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41339,"East Greenbush","Branch Office","ATM","120 Troy Rd # Rt","","East Greenbush","NY","New York","12061-1025","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41342,"Glenmont","Branch Office","ATM","384 Route 9W","","Glenmont","NY","New York","12077","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",41978,"Niskayuna","Branch Office","ATM","3200 Balltown Rd","","Schenectady","NY","New York","12304","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42375,"Wilton","Branch Office","ATM","7 Lowes Dr","","Saratoga Springs","NY","New York","12866","Saratoga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42394,"Schodack","Branch Office","ATM","89 Miller Rd","","Castleton","NY","New York","12033","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42401,"Slingerlands","Branch Office","ATM","1395 New Scotland Rd","Price Chopper Plaza","Slingerlands","NY","New York","12159","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42409,"Syr Deys Bldg","Branch Office","ATM","401 S Salina St","","Syracuse","NY","New York","13202-2584","Onondaga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42425,"Syr Simon Dr","Branch Office","ATM","107 Simon Dr","","Syracuse","NY","New York","13224","Onondaga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42437,"Troy","Branch Office","ATM","65 Vandenburgh Ave","","Troy","NY","New York","12180","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",42470,"Vestal","Branch Office","ATM","3640 Vestal Rd","","Vestal","NY","New York","13850-2227","Broome","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",49963,"Nanotech","Branch Office","ATM","257 Fuller Rd","","Albany","NY","New York","12203","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",50711,"Cicero","Branch Office","ATM","8086 Brewerton Rd","","Cicero","NY","New York","13039","Onondaga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",50814,"SEFCU Square","Branch Office","ATM","469 State St","","Schenectady","NY","New York","12305","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",51010,"Park South","Branch Office","ATM","16 New Scotland Ave","","Albany","NY","New York","12208","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",51032,"SUNY Buffalo","Branch Office","ATM","520 Lee Entrance Ste 101A","","Amherst","NY","New York","14228","Erie","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",52437,"RPI","Branch Office","ATM","110 8th St","","Troy","NY","New York","12180","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",52438,"Mobile I","Branch Office","ATM","700 Patroon Creek Blvd","","Albany","NY","New York","12206","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53399,"Vista","Branch Office","ATM","12 Vista Blvd","","Slingerlands","NY","New York","12159","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53402,"Mobile II","Branch Office","ATM","700 Patroon Creek Blvd","","Albany","NY","New York","12206","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53403,"Syr S Crouse Ave","Branch Office","ATM","704 S Crouse Ave","","Syracuse","NY","New York","13210","Onondaga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53404,"Albany Med Center Hosp","Branch Office","ATM","43 New Scotland Ave # MC-31","","Albany","NY","New York","12208-3412","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53405,"St Peters Hosp","Branch Office","ATM","315 S Manning Blvd","","Albany","NY","New York","12208","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53406,"Ellis Hosp","Branch Office","ATM","1101 Nott St","","Schenectady","NY","New York","12308","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53407,"Rotterdam","Branch Office","ATM","93 W Campbell Rd","","Rotterdam","NY","New York","12306","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53408,"Brunswick CC","Branch Office","ATM","799 Hoosick Rd","","Troy","NY","New York","12180","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53409,"Clifton Park CC","Branch Office","ATM","1744 Route 9","","Halfmoon","NY","New York","12065","Saratoga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53410,"Cohoes CC","Branch Office","ATM","219 Ontario St","","Cohoes","NY","New York","12047","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53411,"Colonie Central Ave","Branch Office","ATM","1895 Central Ave","","Albany","NY","New York","12205","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53413,"Financial Service Center","Corporate Office","ATM","4 Winners Cir","","Albany","NY","New York","12205-1121","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53415,"Glenville","Branch Office","ATM","262 Saratoga Rd","","Schenectady","NY","New York","12302","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53416,"Latham","Branch Office","ATM","4 Century Hill Dr","","Latham","NY","New York","12110","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53417,"Malta CC","Branch Office","ATM","2439 State Route 9","","Malta","NY","New York","12020","Saratoga","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53418,"Niskayuna CC","Branch Office","ATM","582 Balltown Rd","","Schenectady","NY","New York","12304","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53419,"North Greenbush CC","Branch Office","ATM","100 Van Rensselaer Sq","","Rensselaer","NY","New York","12144-1405","Rensselaer","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53420,"Schenectady-City Hall CC","Branch Office","ATM","105 Jay St Rm 1","","Schenectady","NY","New York","12305-1905","Schenectady","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53422,"Western Ave CC","Branch Office","ATM","899 Western Ave","","Albany","NY","New York","12203","Albany","United States"
51,3/31/2026 0:00:00,32,"BROADVIEW",53423,"Union Street","Branch Office","ATM","1742 Union St","","Schenectady","NY","New York","12309","Schenectady","United States"
53,3/31/2026 0:00:00,33,"MOTION",37362,"CAB","Branch Office","ATM","1400 S Park Ave","","Linden","NJ","New Jersey","07036","Union","United States"
53,3/31/2026 0:00:00,33,"MOTION",37367,"BOB","Branch Office","ATM","1400 S Park Ave","","Linden","NJ","New Jersey","07036-1610","Union","United States"
53,3/31/2026 0:00:00,33,"MOTION",37373,"LTC","Branch Office","ATM","1900 E Linden Ave","","Linden","NJ","New Jersey","07036-1133","Union","United States"
53,3/31/2026 0:00:00,33,"MOTION",53288,"Wood Av","Corporate Office","ATM","360 N Wood Ave","","Linden","NJ","New Jersey","07036","Union","United States"
60,3/31/2026 0:00:00,35,"LEVO",34413,"Downtown","Branch Office","ATM","700 E 14th St","","Sioux Falls","SD","South Dakota","57104-5144","Minnehaha","United States"
60,3/31/2026 0:00:00,35,"LEVO",34419,"Meadows","Branch Office","ATM","2517 S Louise Ave","","Sioux Falls","SD","South Dakota","57106-4325","Minnehaha","United States"
60,3/31/2026 0:00:00,35,"LEVO",34435,"Arrowhead","Branch Office","ATM","5700 E Arrowhead Pl","","Sioux Falls","SD","South Dakota","57110-7008","Minnehaha","United States"
60,3/31/2026 0:00:00,35,"LEVO",50957,"South Louise Branch","Branch Office","ATM","4701 S Louise Ave","","Sioux Falls","SD","South Dakota","57106","Minnehaha","United States"
60,3/31/2026 0:00:00,35,"LEVO",50959,"Veterans Boulevard","Branch Office","ATM","2975 Uptown Way","","Fargo","ND","North Dakota","58104","","United States"
77,3/31/2026 0:00:00,41,"SERVICE FIRST",41471,"Falls Landingl Branch","Branch Office","ATM","1300 N Morrell Ave","","Sioux Falls","SD","South Dakota","57103-0158","Minnehaha","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",27056,"Perkins Operation Center","Corporate Office","ATM","6230 Perkins Rd","","Baton Rouge","LA","Louisiana","70808","East Baton Rouge","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",27064,"Main Campus","Branch Office","ATM","173 South Quad Drive","LSU Campus","Baton Rouge","LA","Louisiana","70803","East Baton Rouge","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",27074,"Campus Corner","Other","ATM","1903 Gravier St","","New Orleans","LA","Louisiana","70112-2231","Orleans","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",27087,"Shreveport Medical Center","Branch Office","ATM","1501 Kings Hwy","Ground Floor","Shreveport","LA","Louisiana","71103-4228","Caddo","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",27109,"PIERREMONT BRANCH","Branch Office","ATM","1555 E 70th St","","Shreveport","LA","Louisiana","71105-5040","Caddo","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",27122,"Union Branch","Branch Office","ATM","Union","LSU Campus","Baton Rouge","LA","Louisiana","70803-0001","East Baton Rouge","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",51395,"OLOL Branch","Branch Office","ATM","7777 Hennessy Blvd","Suite 2008","Baton Rouge","LA","Louisiana","70808","East Baton Rouge","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",51396,"BioDistrict Branch","Branch Office","ATM","2200 Tulane Ave","","New Orleans","LA","Louisiana","70119-7613","Orleans","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",51397,"Interaction Center","Branch Office","ATM","9555 Antioch Rd Ste A","","Baton Rouge","LA","Louisiana","70817","East Baton Rouge","United States"
79,3/31/2026 0:00:00,43,"CAMPUS",51398,"Siegen Lane Mortgage and Business Center","Other","ATM","6108 Siegen Ln","","Baton Rouge","LA","Louisiana","70809-4155","East Baton Rouge","United States"
82,3/31/2026 0:00:00,46,"FIRST ATLANTIC",26979,"EATONTOWN","Branch Office","ATM","468 INDUSTRIAL WAY W","","EATONTOWN","NJ","New Jersey","07724-2210","Monmouth","United States"
82,3/31/2026 0:00:00,46,"FIRST ATLANTIC",40505,"OceanPort","Branch Office","ATM","495 OceanPort Ave","","OceanPort","NJ","New Jersey","07757-1235","Monmouth","United States"
82,3/31/2026 0:00:00,46,"FIRST ATLANTIC",40517,"Toms River - Rte 9","Branch Office","ATM","1580 Lakewood Road","","Toms River","NJ","New Jersey","08754","Ocean","United States"
107,3/31/2026 0:00:00,57,"KEMBA ROANOKE",31135,"KEMBA ROANOKE MAIN","Corporate Office","ATM","2812 W MAIN ST","","SALEM","VA","Virginia","24153","Salem","United States"
107,3/31/2026 0:00:00,57,"KEMBA ROANOKE",31147,"CO OP SHARED BRANCH","Other","ATM","615 Channelside Dr Ste 204","","TAMPA","FL","Florida","33602","Hillsborough","United States"
119,3/31/2026 0:00:00,62,"TRIBORO POSTAL",29784,"Triboro Postal FCU","Corporate Office","ATM","14202 20th Ave","","Flushing","NY","New York","11351-3000","Queens","United States"
119,3/31/2026 0:00:00,62,"TRIBORO POSTAL",30365,"FourLeaf  FCU","Other","ATM","899 S Oyster Bay Rd","","Bethpage","NY","New York","11714-1030","Nassau","United States"
135,3/31/2026 0:00:00,70,"OMAHA",46720,"Main Office","Corporate Office","ATM","3001 S 82ND AVE","","OMAHA","NE","Nebraska","68124","Douglas","United States"
135,3/31/2026 0:00:00,70,"OMAHA",46734,"DOWNTOWN BRANCH","Branch Office","ATM","1616 CAPITOL AVE STE 187","","OMAHA","NE","Nebraska","68102-4927","Douglas","United States"
135,3/31/2026 0:00:00,70,"OMAHA",46771,"VAMC BRANCH","Branch Office","ATM","4101 WOOLWORTH AVE","","OMAHA","NE","Nebraska","68105-1850","Douglas","United States"
135,3/31/2026 0:00:00,70,"OMAHA",46777,"BLAIR BRANCH","Branch Office","ATM","1409 WASHINGTON ST","","BLAIR","NE","Nebraska","68008","Washington","United States"
138,3/31/2026 0:00:00,72,"VIGO COUNTY",29818,"Vigo County Federal Credit Union","Corporate Office","ATM","126 S 3rd St","","Terre Haute","IN","Indiana","47807-3407","Vigo","United States"
150,3/31/2026 0:00:00,77,"FEDCHOICE",30386,"FedChoice FCU","Corporate Office","ATM","10001 Willowdale Rd","","Lanham","MD","Maryland","20706-4321","Prince Georges","United States"
150,3/31/2026 0:00:00,77,"FEDCHOICE",30389,"National Financial Service Center","Branch Office","ATM","1111 Constitution Ave Rm 1716","","Washington","DC","District of Columbia","20224-0001","District Of Columbia","United States"
150,3/31/2026 0:00:00,77,"FEDCHOICE",30399,"New Carrollton Financial Service Center","Branch Office","ATM","5000 Ellin Rd Rm c1-100","","Lanham","MD","Maryland","20706-1336","Prince Georges","United States"
150,3/31/2026 0:00:00,77,"FEDCHOICE",30405,"Philadelpia Financial Service Center","Branch Office","ATM","2970 Market St","","Philadelphia","PA","Pennsylvania","19104-5002","Philadelphia","United States"
150,3/31/2026 0:00:00,77,"FEDCHOICE",30406,"Brentwood Financial Service Center","Branch Office","ATM","900 Brentwood Rd NE","","Washington","DC","District of Columbia","20066-9201","District Of Columbia","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",44775,"West Virginia White Oaks Br #26","Branch Office","ATM","180 White Oaks Blvd","","Bridgeport","WV","West Virginia","26330-4648","Harrison","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",51228,"Atlanta Branch #23","Branch Office","ATM","959 E Confederate Ave SE","","Atlanta","GA","Georgia","30316","Fulton","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",51229,"Forsyth Branch #24","Branch Office","ATM","1000 Indian Springs Dr","","Forsyth","GA","Georgia","31029","Monroe","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",51230,"Chicago Br #22","Branch Office","ATM","2111 W Roosevelt Rd Ste 194","","Chicago","IL","Illinois","60608-1128","Cook","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",51233,"Miami Branch #27","Branch Office","ATM","2030 SW 145th Ave","","Pembroke Pines","FL","Florida","33027","Broward","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",51234,"Ft Worth Branch #30","Branch Office","ATM","7 Carlson Ct Apt B","","Ft Worth","TX","Texas","76119","Tarrant","United States"
151,3/31/2026 0:00:00,78,"JUSTICE",51235,"Miami LET Branch #33","Branch Office","ATM","400 NW 2nd Ave Ste 309","","Miami","FL","Florida","33128-1706","Miami-Dade","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29100,"New Haven","Branch Office","ATM","10915 Isabelle Dr","","New Haven","IN","Indiana","46774-2000","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29105,"St Joe Center","Branch Office","ATM","5703 YMCA Park Drive E","","Fort Wayne","IN","Indiana","46835","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29134,"Waynedale","Branch Office","ATM","5005 Bluffton Rd","","Fort Wayne","IN","Indiana","46809-1826","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29141,"Kendallville","Branch Office","ATM","551 W North St","","Kendallville","IN","Indiana","46755-1007","Noble","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29149,"Bluffton","Branch Office","ATM","2030 Commerce Dr","","Bluffton","IN","Indiana","46714","Wells","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29188,"Columbia City","Branch Office","ATM","275 Frontage Rd","","Columbia City","IN","Indiana","46725-1003","Whitley","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29198,"Saint Marys","Branch Office","ATM","420 Greenville Rd","","Saint Marys","OH","Ohio","45885-2809","Auglaize","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29207,"Auburn","Branch Office","ATM","204 Touring Dr","","Auburn","IN","Indiana","46706","Dekalb","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29211,"Dupont","Branch Office","ATM","3750 E Dupont Rd","","Fort Wayne","IN","Indiana","46825-2454","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29217,"Georgetown ATM","Other","ATM","6310 E State Blvd","","Fort Wayne","IN","Indiana","46815-7023","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29220,"North Clinton ATM","Other","ATM","4120 N Clinton St","","Fort Wayne","IN","Indiana","46805-1230","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29230,"Stellhorn Crossing","Branch Office","ATM","9112 Stellhorn Crossing Pkwy","","Fort Wayne","IN","Indiana","46815-5858","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29236,"West State ATM","Other","ATM","1125 W State Blvd","","Fort Wayne","IN","Indiana","46808-3185","Allen","United States"
159,3/31/2026 0:00:00,83,"THREE RIVERS",29242,"West Jefferson","Branch Office","ATM","8080 W Jefferson Blvd","","Fort Wayne","IN","Indiana","46804-4142","Allen","United States"
